id,Title,Medium,Dates,Place
edanmdm-siris_arc_216504,"John Francis Torreano papers, circa 1970-2004",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_381747,"Film and Videotapes, 1974, 1983, 1986",Videotapes,1980s,Unknown+ETC
edanmdm-siris_sil_947284,"From reliable sources the Archives of American Art director, Robert Pierce",Video Recordings,no date data,Unknown+ETC
edanmdm-siris_arc_216406,"Bernard A. Pfriem papers, 1932-1994",Video Recordings,1940s,Unknown+ETC
edanmdm-siris_arc_214753,"From reliable sources : [videorecording] : the Archives of American Art / director, Robert Pierce",Video Recordings,1980s,Unknown+ETC
edanmdm-siris_arc_255249,"Paul Suttman papers, 1947-1998",Video Recordings,1940s,Unknown+ETC
edanmdm-siris_arc_255043,"Video Recordings, circa 1971-1981",Video Recordings,1980s,Unknown+ETC
edanmdm-siris_arc_247073,"Productions, 1973, 1980, 1982, 1984",Video Recordings,1980s,Unknown+ETC
edanmdm-siris_arc_212468,"The total theater model of the project designed by architect Walter Gropius for Erwin Piscator, Berlin, Germany 1927, circa 1960",Video Recordings,1960s,Unknown+ETC
edanmdm-siris_arc_210250,"Esta Nesbitt papers, 1942-1981",Sound Recordings,1940s,Unknown+ETC
edanmdm-siris_arc_260929,"Films and Videotapes, 1971-1983 and undated",Videotapes,1980s,Unknown+ETC
edanmdm-siris_arc_380756,"Productions, c. 1985-1995",Audiotapes,1990s,Unknown+ETC
edanmdm-siris_arc_251985,"Records, 1987-1996",Video Recordings,1990s,Unknown+ETC
edanmdm-siris_arc_394803,Center for the Study of Man Conference,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_394804,Center for the Study of Man Conference,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_396220,Exterior View of Jean C. Schmidt Environmental Education Building at Chesapeake Bay Center for Environmental Studies,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_397977,Children Tour Chesapeake Bay Center for Environmental Studies (CBCES),Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_246807,"Program Files, 1971-2006, undated",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_215774,"Jerome Caja papers, 1920-1995",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_251619,"Program Files, 1972-1995",Audiotapes,1990s,Unknown+ETC
edanmdm-siris_arc_395126,J. Kevin Sullivan Receives an Award,Photographs,1970s,Unknown+ETC
edanmdm-siris_arc_396111,Conference on Study of Human Populations,Photographs,1970s,Unknown+ETC
